Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market sell,2023-11-13 15:03:45,US22041X1028,CRSR,"Corsair Gaming",2.0238850000,12.07,USD,1.22532,-34.06,"GBP",19.91,"GBP",,,,,,EOF6050377578,0.03,"GBP"
Market buy,2023-11-13 15:04:19,US88160R1014,TSLA,"Tesla",0.0090662000,216.22,USD,1.22520,,"GBP",1.60,"GBP",,,,,,EOF6050377778,,
Market buy,2023-11-13 15:04:19,DE0005190003,BMW,"Bayerische Motoren Werke",0.0251080000,91.78,EUR,1.14655,,"GBP",2.01,"GBP",,,,,,EOF6050377783,,
Market buy,2023-11-13 15:04:19,DE0007100000,MBG,"Mercedes-Benz",0.0325130000,56.42,EUR,1.14655,,"GBP",1.60,"GBP",,,,,,EOF6050377786,,
Market buy,2023-11-13 15:04:19,US86959K1051,SUZ,"Suzano",0.1350040000,10.89,USD,1.22519,,"GBP",1.20,"GBP",,,,,,EOF6050377789,,
Market buy,2023-11-13 15:04:19,US3453708600,F,"Ford Motor",0.4021200000,9.78,USD,1.22520,,"GBP",3.21,"GBP",,,,,,EOF6050377792,,
Market buy,2023-11-13 15:04:19,US37045V1008,GM,"General Motors",0.1106700000,26.68,USD,1.22520,,"GBP",2.41,"GBP",,,,,,EOF6050377795,,
Market buy,2023-11-13 15:04:20,US9288541082,VLVLY,"Volvo",0.1685160000,20.43,USD,1.22519,,"GBP",2.81,"GBP",,,,,,EOF6050377802,,
Market buy,2023-11-13 15:04:21,DE0007664005,VOW,"Volkswagen",0.0237993000,116.10,EUR,1.14655,,"GBP",2.41,"GBP",,,,,,EOF6050377809,,
Market buy,2023-11-13 15:04:22,US8923313071,TM,"Toyota Motor",0.0104974000,186.74,USD,1.22520,,"GBP",1.60,"GBP",,,,,,EOF6050377812,,
Market buy,2023-11-13 16:13:02,USY384721251,HYUD,"Hyundai Motor",0.0377940000,38.90,USD,1.22520,,"GBP",1.20,"GBP",,,,,,EOF6050389671,,
Dividend (Dividend),2023-11-14 11:58:52,US8825081040,TXN,"Texas Instruments",0.3295623000,1.11,USD,Not available,,,0.30,"GBP",0.06,USD,,,,,,
Dividend (Dividend),2023-11-16 13:32:13,US0378331005,AAPL,"Apple",0.5088623000,0.20,USD,Not available,,,0.08,"GBP",0.02,USD,,,,,,
Dividend (Dividend),2023-11-21 14:11:22,USY384721251,HYUD,"Hyundai Motor",0.3931210000,0.44,USD,Not available,,,0.14,"GBP",0.05,USD,,,,,,
Dividend (Dividend),2023-11-28 12:54:14,US7960508882,SMSN,"Samsung Electronics",0.0263212900,5.42,USD,Not available,,,0.11,"GBP",0.04,USD,,,,,,
Market sell,2023-11-28 16:55:33,US0378331005,AAPL,"Apple",0.2062862000,190.77,USD,1.27065,1.02,"GBP",30.92,"GBP",,,,,,EOF6700946546,0.05,"GBP"
Market sell,2023-11-28 16:55:33,US19260Q1076,COIN,"Coinbase",0.4294380000,127.00,USD,1.27065,12.97,"GBP",42.86,"GBP",,,,,,EOF6700946554,0.06,"GBP"
Market sell,2023-11-28 16:55:33,US0231351067,AMZN,"Amazon",0.2169836000,147.13,USD,1.27064,1.16,"GBP",25.08,"GBP",,,,,,EOF6700946552,0.04,"GBP"
Market sell,2023-11-28 16:55:33,US5949181045,MSFT,"Microsoft",0.1843106000,382.20,USD,1.27064,7.74,"GBP",55.36,"GBP",,,,,,EOF6700946548,0.08,"GBP"
Market sell,2023-11-28 16:55:34,US70450Y1038,PYPL,"PayPal",0.4730890000,57.40,USD,1.27064,-2.59,"GBP",21.34,"GBP",,,,,,EOF6700946557,0.03,"GBP"
